1	Simon &amp; Schuster
2	Collins
3	Harpercollins Uk
4	HarperCollins Publishers
5	Trafalgar Square Publishing
6	Trafalgar Square Books
7	Atlantic
8	Fairmount Books Ltd Remainders
9	Trafalgar Square
10	Collin
11	William Collins Sons Co Ltd
12	HarperFlamingo Canada
13	Harper Collins Canada
14	Harper Collins
15	Harpercollins
16	Harper &amp; Collins
17	HarperCollinsPublishers
18	Harpercollins Publisher
19	Smithmark Publishing
20	Cuisinarts
21	Collins Harvill
22	Collins Pub San Francisco
23	Harpercollins Juvenile Books
24	Smithmark Pub
25	HarperCollinsWillow
26	BBC Books
27	Harper Collins Publishers
28	Totem Books
29	Flamingo
30	HarperPerennial
31	HarperCollins Pubrs
32	Harpercollins Canada
33	Collins Publishers
34	Perennial Currents
35	HarperEntertainment
36	Indus
37	Daedalus Books Inc Remainders
38	HarperFestival
39	Voyager
40	Collins [for] the Crime Club
41	[Published for] the Crime Club [by] Collins
42	Collins for the Crime Club
43	Crime Club
44	Collins Crime
45	Cookbooks
46	Harpercollins Australia
47	Pub Overstock Unlimited Inc
48	Collins &amp; Harvill Press
49	Collins : Harvill Press
50	Collins Harvill Pr
51	Harvill Press
52	Acacia Press, Inc.
53	Collins Educational
54	Addison Wesley Publishing Company
55	Pearson English Language Teaching
56	Addison Wesley Longman ELT Division (a Pearson Education company)
57	Penguin Longman Publishing
58	Collins Liturgical Books
59	Not Avail
60	HarperCollins (UK)
61	HarperResource
62	HarperCollins Publishers Inc
63	Fontana
64	Fontana Paperbacks
65	Fontana/ Collin
66	William Collins Pty Ltd
67	Fontana/Collins
68	Fontana Press
69	Pub Group West
70	Fount
71	Zondervan Publishing Company
72	Zondervan
73	Harper Collins - UK
74	Fount/harpercollins
75	Delta Book Co
76	Collins Publications
77	Penguin Uk
78	Virago Press Limited
79	Harper Perennial
80	HarperCollins Canada, Ltd.
81	HarperCollins Business
82	Augsburg Fortress Publishers
83	HarperSanFrancisco
84	Hope Publishing Company (IL)
85	Britnell Book Wholesalers
86	Firebird Distributing
87	Harpercollins Pub Ltd
88	HarperCollins Entertainment
89	Flamingo Agencies Ltd
90	Albert Britnell Book Shop
91	Herald Press (PA)
92	Picture Lions
93	Word Entertainment Music
94	Thorsons Publishers
95	HarperCollins Illustrated
96	National Book Network
97	Element Books
98	Perennial
99	Bibles/Liturgical/Music
100	Willow
101	Collins Voyager
102	Conari Press
103	Fourth Estate
104	Chilton Book Company
105	Thorsons
106	Collier Books
107	John Wiley &amp; Sons
108	Touchstone
109	MacMillan Publishing Company
110	MacMillan Publishing Company.
111	Scribner Paper Fiction
112	Simon Schuster Trade
113	Macmillan General Reference
114	Scribner
115	Macmillan
116	Maxwell Macmillan International
117	Cassell's
118	Hungry Minds, Inc
119	Free Press
120	John Wiley &amp; Sons Inc
121	Simon Pulse
122	Aladdin
123	Simon &amp; Schuster Merchandise &amp;
124	Collier
125	Wiley
126	Macmillan Pub Co
127	Scribner Book Company
128	Fireside
129	Macmillan Pub. Co
130	Palgrave MacMillan
131	Pan Macmillan
132	MacMillan/McGraw-Hill School Division
133	Glencoe/McGraw-Hill
134	Prentice Hall
135	Longman Publishing Group
136	Dellen Pub Corp
137	Pearson Education
138	Collier Macmillan Canada
139	Pearson Allyn &amp; Bacon
140	Bobbs-Merrill Co
141	Collier Macmillan
142	Pearson Education POD
143	MacMillan Inc
144	Pearson P T R
145	Pearson Higher Education
146	Meredith Books
147	Sedgewood Press
148	Bookthrift Co
149	Howell Book House
150	Glencoe Division Macmillian/McGraw-Hill
151	Glencoe/Macmillan McGraw Hill
152	McGraw-Hill/Irwin
153	Mcgraw-hill Inc
154	Checkerboard Pr
155	Holmes &amp; Meier Publishers
156	Checkerboard Books
157	Checkerboard Press
158	Checkboard Press
159	Book Sales
160	Simon &amp; Schuster (J)
161	Bradbury Press
162	Simon &amp; Schuster Children's Publishing
163	Atheneum/Richard Jackson Books
164	Atheneum
165	Crowell-Collier
166	Four Winds Press
167	Four Winds
168	Athena V Lord
169	Little Simon
170	Simon &amp; Schuster Adult Publishing Group
171	McGraw-Hill Companies
172	McGraw-Hill Technology Education
173	Glencoe McGraw-Hill
174	Macmillan Mcgraw-hill
175	Petersons Guides
176	Petersons
177	Macmillan Distribution
178	Alpha Books
179	Longman
180	American Heart Association
181	Arco Pub
182	Webster's New World
183	Penguin Putnam
184	Betty Crocker
185	Hungry Minds
186	MacMillan USA
187	Frommer's
188	Alpha Communications
189	Alpha
190	Frommer
191	Frommers
192	Schirmer Books
193	Music Sales Ltd
194	Music Sales Corp
195	Wadsworth Publishing
196	Gale Group
197	Brassey's Inc
198	Brasseys
199	Lexington Books
200	Simon and Schuster, Inc.
201	Oryx Pr
202	Prentice Hall of Canada Ltd
203	Distributed by Macmillan Pub. Co
204	Editions Berlitz
205	Berlitz Guides
206	Holt, Rinehart, and Winston
207	Henry Holt &amp; Co
208	Harcourt Brace* Co
209	Granite Impex Ltd
210	Henry Holt &amp; Co (J)
211	Greenwood Pub Group
212	Thomson Learning
213	Holt Rinehart and Winston
214	Holt, Rinehart and Winston
215	Brooks Cole
216	Harcourt Brace College Publishers
217	Henry Holt &amp; Company, Inc.
218	Harcourt College Pub
219	Saunders College Pub
220	Henry Holt &amp; Company
221	International Thomson Publishing
222	Henry Holt (P)
223	Saunders College Publishing
224	Harcourt College Publishers
225	Dryden Press
226	Saunders
227	Holt Rinehart Winston
228	Heinle
229	Harcourt
230	Holt Rinehart &amp; Winston
231	South-Western College Pub
232	Harcourt School Pub
233	Horizon Book Promotions
234	Custom Publishing
235	Course Technology
236	Harcourt School
237	Harper San Francisco
238	Knapp Press
239	Holt, Rinehart, Winston
240	Holt, Rinehart and Winston, Publishers
241	Winston Press
242	Harcourt Brace Jovanovich
243	Smithmark Publishers
244	Saunders College
245	Holt, Rinehart &amp; Winston
246	Slack Inc
247	Harcourt Brace
248	Allen &amp; Unwin Pty., Limited (Australia)
249	Routledge
250	Unwin Paperbacks
251	Unwin Hyman/ See Routledge
252	Unwin Hyman
253	Allen &amp; Unwin Australia
254	Pandora Pr
255	Natl Book Network
256	New York Univ Pr
257	Rivers Oram Press
258	Harper Collins India
259	Pandora Press (GB)
260	Rivers Oram Press/Pandora
261	Paul &amp; Co Pub Consortium
262	Allen &amp; Unwin (Australia) Pty Ltd
263	Allen &amp; Unwin
264	Bridget Williams Books
265	G. Allen &amp; Unwin
266	Unwin Books
267	Allen and Unwin
268	Writers &amp; Readers Publishing
269	Longman Schools Division (a Pearson Education company)
270	Avon
271	Joanna Cotler
272	Avon Books
273	Ecco
274	William Morrow
275	William Morrow &amp; Company
276	HarperTorch
277	HarperTrophy
278	Greenwillow Books
279	HarperBusiness
280	Eos
281	Harper SanFrancisco
282	Avon Trade
283	Quill
284	HarperAudio
285	Regan Books
286	Rayo
287	HarperTempest
288	ReganBooks
289	Perennial Classics
290	HarperLargePrint
291	Morrow Cookbooks
292	Harper &amp; Row
293	Book Division, Times Mirror Magazines : [distributed by] Harper and Row
294	HarperCollins (paper)
295	Newsweek; distributed by Harper &amp; Row
296	Harper
297	Harpercollins Childrens Books
298	Harper and Row
299	Harper Row
300	Edward Burlingame Books
301	Harper Resource
302	Ecco Press
303	Harperflamingo
304	Cliff Street Books
305	HarperCollins Children's Books
306	Ecco (HarperCollins)
307	Amistad Press (HarperCollins)
308	Little Brown and Company
309	MMB Music
310	Counterpoint Press
311	Harpercollins Library
312	Laura Geringer
313	Amistad
314	Joanna Cotler Books
315	Laura Geringer Book
316	Michael Di Capua
317	Katherine Tegen Books
318	Greenwillow
319	Warner Books
320	Addison-Wesley Pub Co
321	Addison-Wesley
322	Allyn &amp; Bacon
323	Addison-Wesley Pub Co (Sd)
324	PerfectBound
325	HarperChildrensAudio
326	Amistad Press
327	Harper Design International
328	Perennial Dark Alley
329	Collinswillow
330	Eos (Trade)
331	Perennial (HarperCollins)
332	Random House Inc
333	Perennial Library
334	Harper Colophon Books
335	Louisiana State University Press
336	Griffin
337	Harperperennial Library
338	Harperentertn
339	Harper Collins (Hallmark Edition)
340	Hallmark
341	Perennial Library &amp; Row
342	Harper Audio
343	Harper Mass Market Paperbacks
344	Harper Mass Market Paperbacks (Mm)
345	HarperPrism
346	Alanna Nash
347	Eos (HarperCollins)
348	HarperPaperbacks
349	Harper's Magazine Press
350	Basic Books
351	Di Capua
352	Upper Access Book Pub
353	Jambalaya Spirit/Best Sellers Ink
354	U s Games Systems
355	DIANE Publishing Co
356	Whole Earth
357	Harpersanfran
358	CollinsRef
359	Access Press (HarperCollins)
360	Perseus Books Group
361	Access Press
362	Longman Higher Education Division (a Pearson Education company)
363	Canfield Press
364	Westview Press
365	Crowell
366	Parachute Press (NY)
367	Benjamin-Cummings Publishing Company
368	Barnes &amp; Noble Books
369	Barnes &amp; Noble Books-Imports
370	Facts on File
371	Barnes &amp; Noble
372	Barnes Noble Books
373	Rowman &amp; Littlefield Pub Inc
374	NewburyHouse
375	distributed by Harper &amp; Row
376	McGraw-Hill
377	McGraw-Hill Education
378	McGraw Hill (Tx)
379	Webster Division MacGraw-Hill
380	McGraw-Hill/Contemporary Books
381	McGraw Hill Children's Pub
382	McGraw-Hill Book Co (Mm)
383	McGraw Hill College Div
384	International Marine/Ragged Mountain Press
385	McGraw-Hill Trade
386	McGraw-Hill Book Co
387	McGraw-Hill Humanities/Social Sciences/Languages
388	McGraw-Hill College
389	McGraw Hill
390	Ragged Mountain Press
391	McGraw-Hill Osborne Media
392	McGraw-Hill Science/Engineering/Math
393	Gregg Division, McGraw-Hill
394	McGraw-Hill Professional Publishing
395	Gregg Division McGraw-Hill
396	McGraw-Hill Professional
397	Gregg Division
398	McGraw Hill College
399	Jim Hughes
400	Reader's Digest Press : distributed by McGraw-Hill
401	Byte Books
402	Webster Division, McGraw-Hill
403	Client Distribution Services
404	American Heritage Pub. Co.; distribution by McGraw-Hill
405	McGraw-Hill Children's Pub
406	McGraw-Hill/Dushkin
407	McGraw-Hill Primis Custom Publishing
408	McGraw-Hill Publishing Co.
409	Reader's Digest Press
410	McGraw Hill Osborne Media
411	McGraw-Hill/TAB Electronics
412	McGraw-Hill Health Professions Division
413	McGraw-Hill Ryerson
414	Nimbus Publishing Ltd
415	McGraw Hill Book Co Ltd
416	McGraw-Hill Ryerson Ltd
417	McGraw-Hill Education - Europe
418	Irwin/McGraw-Hill
419	International Marine Publishing
420	Osborne Publishing
421	Osborne McGraw-Hill
422	Project Management Institute
423	Osborne/McGraw-Hill
424	McGraw-Hill Osborne Media.
425	McGraw-Hill Osborne Media McGraw-Hill Osborne
426	McGraw-Hill Higher Education
427	Dushkin/McGraw-Hill
428	Vintage Books USA
429	Irwin Professional Publishing
430	MaGraw-Hill Ryerson
431	McGraw-Hill Humanities/Social Sciences/Langua
432	McGraw-Hill Academic Computing
433	Elsevier Science Ltd
434	Pergamon Press
435	Pergamon
436	Cadogan Books
437	Arrow Books
438	Jarrolds
439	Arrow (A Division of Random House Group)
440	Long
441	Hutchinson
442	Hurst &amp; Blackett
443	Ebury Press
444	Hurst and Blackett Ltd
445	Hutchinson and Co. (Publishers) Ltd
446	Nelson Thornes
447	Hutchinson of Australia
448	Rider
449	Burnett Books
450	Sterling Pub Co Inc
451	S. Paul
452	Random House Australia
453	Random Century
454	Vintage/Ebury (A Division of Random House Group)
455	Learning Links
456	Century Hutchinson (A Division of Random House Group)
457	Hutchinson Children's Books
458	Random House (UK)
459	Dufour Editions
460	Random House Uk
461	Vermilion
462	Trans-Atlantic Publications
463	Hutchinson Australia
464	Random House
465	Vintage
466	Alfred A. Knopf
467	Arrow
468	Random House Australia Pty Ltd
469	Random House (Australia)
470	Senate Books
471	Merchant Book Company Limited
472	Geographia Ltd
473	Constable
474	Constable and Company Ltd
475	Hutchinson Educational
476	Artnik Books
477	Red Fox
478	Random House Uk Ltd
479	Minerva
480	Random House UK Ltd (A Division of Random House Group)
481	Time Warner Books UK
482	Haynes Publications
483	Red Fox Publishing
484	Arrow Books Ltd
485	Random House Children's Books (A Division of Random House Group)
486	Vintage Books
487	Vintage Of Random House
488	Arrow Books (A Division of Random House Group)
489	Music Book Services
490	Book Depot Remainders
491	Stationary Office, Ltd.
492	H.M.S.O
493	Stationery Office Books
494	Balogh Scientific Books
495	Hmso Books
496	The Stationery Office Books
497	H.M. Stationery Off
498	HMSO Publications Centre [distributor]
499	The Stationery Office/Tso
500	William Rudolf Sabbott
501	H.M. Stationery Off. for the Institute of Geological Sciences
502	H.M.S.O. for the Institute of Geological Sciences
503	Her Majesty's Stationery Office for the Institute of Geological Sciences
504	British Geological Survey
505	Academic Press
506	Morgan Kaufmann Publishers
507	Academic Pr
508	Morgan Kaufmann Pub
509	Morgan Kaufmann
510	Prentice-Hall
511	Prentice Hall Art
512	Prentice Hall Press
513	Aspen Publishers, Inc.
514	Prentice Hall PTR
515	Prentice Hall (Sd)
516	PTR Prentice Hall
517	Pearson Prentice Hall
518	Pearson Learning
519	Yourdon Press
520	Fireside Books
521	Pearson Professional Education
522	Prentice Hall Canada
523	Prentice Hall Direct
524	Longman Group United Kingdom
525	Pearson ESL
526	Reuters Books
527	ARCO
528	Jossey-Bass
529	Abrams
530	Financial Times Prentice Hall
531	Pocket Books
532	Parker Publishing Company
533	Prentice Hall Computer Books
534	Prentice Hall Trade
535	Prentice Hall Gardening
536	Prentice Hall Inc
537	Pearson Ptr
538	Ecam Publications
539	Prentice Hall (Higher Education Division, Pearson Education)
540	Scott Foresman (Pearson K-12)
541	Macmillan Computer Pub
542	Parker Pub. Co
543	Benjamin/Cummings
544	Xs Books
545	John Wiley &amp; Sons (T)
546	Gale
547	Harrap
548	H.N. Abrams
549	Harry N. Abrams
550	Brady Publishing
551	Distributed by Prentice Hall Trade
552	Olympic Marketing Corporation
553	SunSoft Press
554	Cambridge University Press
555	Prentice Hall Books
556	Word Publishing
557	Reward Books
558	Benjamin Cummings
559	Hyperion Books
560	Distributed by Prentice Hall
561	M&amp;T Press
562	Penguin Books Ltd
563	Penguin Books
564	Penguin USA
565	Penguin
566	Penguin Putnam~mass
567	Viking Press
568	Penguin Putnam~trade
569	Outlet
570	Penguin, in association with Martin Secker &amp; Warburg
571	French &amp; European Pubns
572	Penguin USA (Paper)
573	Penguin Books, in association with M. Secker &amp; Warburg
574	Penguin in association with Secker and Warburg
575	Penguin Books Australia Ltd.
576	Penguin]
577	Arkana
578	Books Britain
579	Viking Penguin Inc
580	Penguin Putnam~childrens Hc
581	Penguin, 1983
582	Penguin Books Australia Ltd
583	Ballantine Books
584	Granta Books
585	Penguin (Non-Classics)
586	Penguin Books Canada Ltd
587	Select Penguin
588	Select Penguin (Mm)
589	Viking Penguin
590	McPhee Gribble/Pe
591	Penguin Books / Granta
592	Penguin India
593	Penguin Books Canada
594	Viking
595	Penguin/Puffin Mass Market (Mm)
596	South Asia Books
597	Penguin Books India
598	Penguin Group USA
599	Penguin/Puffin Mass Market
600	Intl Center for Creative Thinking
601	Penguin Books, Limited (UK)
602	Granta Books in association with Penguin Books
603	Penguin U S A
604	RoC
605	Viking Portable Library
606	Penguin USA (T)
607	Penguin Books in association with Dynamo Press
608	Virago Press
609	Penguin Books--Virago Press
610	Thorold's Africana Books [distributor]
611	Compass Books
612	Pelican Publishing Company
613	Studio Books
614	Viking Books
615	Time Out
616	Michael Joseph
617	Penguin Putnam Inc
618	Penguin Books (NZ)
619	Penguin Books (NZ) Ltd
620	Viking Studio
621	Penquin Putnam Inc
622	Time Out Publishing
623	Puffin Books
624	Pearson Schools
625	Puffin
